Generation,Max Distance,Min Distance,Total Distance
0,21,0,148
1,31,0,312
2,31,0,578
3,31,0,788
4,31,0,1047
5,31,0,1350
6,50,0,1688
7,50,0,1974
8,50,0,2241
9,50,0,2534
10,50,0,2825
11,50,0,3222
12,50,0,3601
13,50,0,4015
14,50,0,4506
15,52,0,5108
16,52,0,5744
17,52,0,6209
18,52,0,6707
19,52,0,7163
20,52,0,7630
21,62,0,8188
22,62,0,8775
23,62,0,9493
24,62,0,10224
25,62,0,10973
26,62,0,11723
27,62,0,12332
28,62,0,12815
29,62,0,13422
30,62,0,13988
31,62,0,14670
32,62,0,15400
33,62,0,16121
34,62,0,16652
35,62,0,17229
36,62,0,17747
37,62,0,18165
38,62,0,18607
39,62,0,18906
40,62,0,19398
41,80,0,19925
42,80,0,20356
43,80,0,20689
44,80,0,21122
45,80,0,21552
46,80,0,21960
47,80,0,22356
48,80,0,22807
49,80,0,23310
50,80,0,23805
51,80,0,24265
52,80,0,24708
53,80,0,25174
54,80,0,25634
55,80,0,26088
